infotext,activity,children,culture,food,nature,night,season
"고양국제꽃박람회의 주제는 ‘꽃, 상상 그리고 향기’이다. 국내외 25개국, 200여 개 화훼 기관·단체·협회·업체 참여와 실내 화훼 전시 및 야외 전시 연출, 고양시 화훼농가 직접 참여하는 플라워마켓, 다양한 공연·이벤트 등이 준비된다. 실내에는 해외 희귀·이색식물, 신품종, 화훼 작품 전시 등 국내외의 다양한 화훼 문화를 선보이며, 글로벌 화훼 작가 작품전 등 특별한 전시가 펼쳐진다. 야외에는 남녀노소 체험하며 몰입할 수 있는 전시 콘텐츠 등 올해는 단순한 전시가 아닌 이색 대형 정원과 장미원 등의 다양한 봄꽃을 만끽할 수 있도록 조성된다. 1. 공연 및 이벤트 프로그램<br>
  - 개막식 : 2025. 4. 25.(금) / 특별가수 초청공연 : 날짜 미정<br>
  - 인디밴드 공연, 마술, 군악대, 태권도 시범단 등 더 화려해진 공연들과 관람객이 함께 경험하는 이벤트<br><br>
2. 화훼산업컨퍼런스 : 화훼 산업의 현안과 국제 산업 트렌드를 공유하는 산업 컨퍼런스(학술대회)<br><br>
3. 글로벌 화예작가 작품전 : 5개국 5인의 화예 작가가 선보이는 창의적인 화훼 공간 ‘펜타플로라(글로벌 화예 작가 작품전)’<br><br>
4. 고양 플라워마켓 : 고양시 화훼농가 직거래장터와 이색 소품, 농·특산물 판매장<br><br>
5. 분야별 화훼예술 콘테스트 : 화훼예술 경연대회, IHK컵 플라워디자인 기능경기대회, 한국꽃꽂이대회, 어린이 꽃장식 대회, 프리저브드플라워 경진대회 등 다채로운 화훼예술 콘테스트<br><br>
*요금<br>
1. 사전예매<br>
보통권: 일반권 11,000원 / 우대권 9,000원<br>
고양시민권: 일반권 10,000원 우대권 8,000원<br><br>
2. 현장매표<br>
보통권: 일반권 15,000원 / 우대권 12,000원<br>
고양시민권: 일반권 12,000원 / 우대권 9,000원",0.0,0.0,1.0,0.0,1.0,0.0,0.0
"무창포 신비의 바닷길과 함께 싱싱한 해산물을 마음껏 즐길 수 있는 제22회 ""무창포 주꾸미 도다리 대잔치""가 소라고동주꾸미 도다리가 한창인 2025년 03월 22일(토)부터 2025년 04월 13일(일)까지 보령시 웅천읍 무창포항, 무창포해수욕장 일원에서 개최됩니다. 무창포어촌계(어촌계장 이종길) 주관으로 개최되는 대잔치는 어선에서 갓잡아 올린 봄의 별미인 소라고동주꾸미와 도다리 등 다양한 수산물을 만날 수 있어 미식가들의 입맛을 돋우어 준다.  1. 아랑고고 장구난타<br>
2. 맨손고기잡기 체험<br> 
3. 관광객 및 주민 노래자랑 <br> 
4.신비의 바닷길 체험  ",1.0,0.0,0.0,1.0,0.0,0.0,0.0
"의왕어린이철도축제가 5월 3일 왕송호수공원 일원(왕송호수공원, 철도박물관)에서 펼쳐진다.  어린이날 전후로 개최하는 이번 축제는 의왕철도축제에서 올해 명칭을  의왕어린이철도축제로 변경하여 보다 다채롭게 꾸며질 것이다. 2013년 철도특구 지정에 따라 특화된 전국 유일의 철도 관련 축제로, 올해로 19회째 함께하고 있는 의왕시 대표 축제이기도 하다. 철도특구이자 의왕시 대표 관광자원인 왕송호수 일원에서 아름다운 자연경관을 배경으로 특대형디젤기관차 모형전시, 철도퀴즈쇼, KTX콜라주기차꾸미기체험,간이역vr체험 등 다양한 철도문화를 체험할 수 있다.  특히 올해는 축제의 주 타겟인 어린이에게 꿈과 희망을 선사하는 다양한 체험프로그램과 공연을 중심으로 프로그램이 진행된다. 인기가수의 축하공연등 볼거리를 다양하게 제공하게 된다. 1. 대표 프로그램 : 칙칙폭폭 기차타고 국내여행(의왕철도축제역, 화본역, 김유정역, 극락강역, 송정역 별 다양한 체험프로그램)<br>
2. 체험 프로그램 : 철도(특대형디젤기관차 모형전시, 철도퀴즈쇼, KTX콜라주기차꾸미기체험,간이역vr체험), 어린이(이동과학실험쇼, 철도테마생활과학교실, 자동차 및 부채만들기 체험) 등<br>
3. 공연 프로그램 : 축하공연<br>
4. 부대 프로그램 : 글짓기 및 그림 그리기 대회, 시민참여 열린무대, 에어바운스, 미니기차 등<br>
5. 음식마당 : 푸드트럭(8대)",1.0,1.0,0.0,0.0,0.0,0.0,0.0
"약령시 개장 367년의 역사와 전통을 지닌 한방문화를 기반으로 한 축제프로그램을 통해 과거와 현대를 잇고, 지역을 대표하는 전통문화축제이다. 한방문화의 가치 재조명과 지속 가능한 축제 운영을 핵심으로 타임슬립 요소를 결합한 다양한 프로그램을 통해 방문객들의 참여를 유도하고 나아가 대구약령시 전통문화자원을 관광 상품화 하여 대구약령시 상권 활성화에 기여하고자 한다. 1. 메인프로그램 : 약초 포레스트, 별빛 약초동산, 한의체험센터, 전승기예 경연대회, 김감초의 잃어버린 약초를 찾아라!<br>2. 부대프로그램 : 광대로 살어리랏다, 풍류마당, 조선한방어드벤처, 한방茶임머신, 한복판<br>3. 소비자 참여 프로그램 : 고유제, 김감초의 잃어버린 약초를 찾아라!, 한방로드, 약전골목 한방연구소, 약령 키즈존, 한의체험센터<br>4. 기타 내용 : 저잣거리장터(먹거리)",0.0,0.0,1.0,1.0,0.0,0.0,0.0
"충남 태안 천리포수목원에서 '제8회 천리포수목원 목련 축제- 소복소복 목련산책'이 오는 3월 28일부터 4월 20일가지 24일간 개최된다. 천리포수목원 목련축제는 국내 유일의 목련축제로, 2025년 태안 방문의 해를 맞아 서해안 천예의 자연환경과 풍성한 봄꽃의 향연을 선보일 것으로 기대를 높인다. 올해로 제 8회를 맞은 천리포수목원의 목련축제의 주제는 '소복소복 목련산책'으로, 긴 겨울이 끝나고 따듯한 봄을 맞이한 탐방객들이 천리포수목원에서 경쾌한 산책을 즐기라는 의미를 담았다. 공식 포스터에서는 천리포수목원에서만 볼 수 있는 독특한 노란 목련 '맥신 메릴'의 가지 위로 산책하는 탐방객의 이미지가 눈을 사로잡는다. 목련축제 기간 목련 정원을 비롯한 천리포수목원 비공개 구역을 가드너와 함께 탐방하는 유료 해설 프로그램도 사전 예약자에 한해 진행한다. 1. 메인프로그램 : 천리포수목원 해설 프로그램, 가드너와 함께 걷는 목련정원, 가드너와 함께 걷는 산정목련원<br>2. 부대프로그램 : 목련 세밀화 전시, 입구정원 분화 전시, 설립자 기념 전시, 지역업체 플리마켓, 교육프로그램 및 천리포수목원 부스 운영, 자연생태도서판매부스 운영 등<br>3. 소비자 참여 프로그램 : 목련 도장 엽서 만들기, 각종 체험 프로그램 등<br>4. 기타 내용 : 목련차 판매, 목련 묘목 판매 등<br><br>* 요금<br> 1.입장료: 일반요금 15,000원,우대요금 11,000원,특별우대 6,000원<br>만 36개월 미만 유아, 1~3금에 해당하는 장애인 본인, 소원면민 본인, 숙박이용객, 후원회원 무료<br> 2.프로그램: 수목원 해설 프로그램 5,000원 ~ 50,000원<br>가드너와 함께 걷는 목련정원 40,000원<br>가드너와 함께 걷는 산정목련원 50,000원  ",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"웅상지역의 역사적 의미를 강화하고, 지역의 특색을 반영한 차별화된 콘텐츠로 '웅상신풍워터페스타'를 통해 동서 문화 화합과 지역 자긍심 고취하는 한편, 회야강 르네상스 핵심인 조선통신사 복원의 의미를 시민취타대 퍼레이드로 재연하며 행렬 구성에 4개 동 주민이 함께하여 시민참여를 확대하고 있다. 1. 공식행사<br>- 우불신사 고유례<br>- 개막식(개막 퍼포먼스/축하공연)<br><br>2. 시민참여프로그램<br>- 조선통신사 퍼레이드<br>- 신풍워터페스타<br>- 물총페스티벌<br>- 청소년 국악 한마당<br>- 버블쇼, 풍선아트쇼<br>- 시민동아리공연<br>- 체험 및 전시 부스",1.0,0.0,1.0,0.0,0.0,0.0,0.0
"통일에 대한 국민들의 관심을 높이고 통일 공감대 확산을 위해 통일부가 준비한 통일문화행사이다. 
광복 80년의 의미를 되새기고 통일에 대한 이해를 높이고자 한류문화를 바탕으로 국내외 참여자들이 함께 즐길 수 있는 행사이다. 1. 메인프로그램 : 예술로 통하나봄, 연희로 통하나봄, 놀이로 통하나봄<br>
2. 부대프로그램 : 통하나봄 8가지 미션<br>
3. 소비자 참여 프로그램 : 한끼 맛나봄",0.0,1.0,1.0,0.0,0.0,0.0,0.0
"보은 벚꽃길 축제는 보은읍 보청천 벚꽃길 일원에서 펼쳐지는 축제로 '보은 벚꽃버스킹', '버블&마술쇼', '풍선쇼',  등 다양한 문화예술공연이 펼쳐지며,소풍의 계절에 온가족이 함께 즐기는 벚꽃 피크닉 존과 풍성한 체험프로그램, '벚꽃 야행 걷기', '벚꽃길 자전거 문화축전', '한마음 벚꽃길 치매 걷기 행사' 등 보청천 벚꽃길 따라 다양한 연계프로그램을 진행하여 관광객들에게 많은 볼거리, 즐길거리를 선사할 예정이다. - 개막행사 및 각종 공연프로그램 운영<br>
- 축제장 벚꽃관련 조형물 및 경관조형물, 야간경관 조성 운영<br>
- 벚꽃길 4가지 테마길 조성 운영<br>
- 다양한 체험 프로그램 운영 ",0.0,0.0,0.0,0.0,0.0,1.0,1.0
"제주시 선흘2리에는 봄만 되면 오름 전체가 벚꽃으로 뒤덮이는 신기하고도 아름다운 벚꽃오름인 골체오름이다. 골체오름과 선흘2리 일대에서 3월29일(토)~30일(일) 이틀간 골체오름 벚꽃축제가 열린다. 골체오름 벚꽃축제에 오면 벚꽃 배경 Photo Spot에서 나만의 인생 사진을 남길 수 있고 다양한 장르의 음악 공연을 무료로 즐길 수 있다. 벚꽃향기 가득한 봄을 만나는 축제, 골체오름 벚꽃축제 에서 아름다운 음악과 함께 벚꽃 내음 만끽하며 몸과 마음을 힐링 할 수 있다. 1. 골체오름 벚꽃길 : 아름다운 벚꽃오름을 오르며 추억 남기기<br>2. 음악 공연(무료)<br>- 03.29.(토) : 조이랑, 대니정, 오가람 밴드<br>- 03.30.(일) : 프로젝트 온, 밴드 이강<br>3. 콘텐츠 마켓 : 선흘2리 마을에서 볼거리, 놀거리 즐기기<br>4. 지역 홍보관 전시 : 지역 내 맛집, 관광지, 커피숍 등을 소개<br>5. 벚꽃 솜사탕(벚꽃 캔디) 만들기 체험 : 아이들이 즐길 수 있는 체험 프로그램",0.0,0.0,1.0,0.0,0.0,0.0,1.0
" 매년 한글날을 기념하는 세종시 대표축제로, 올해부터 세종'한글'축제로 명칭을 변경하여 개최한다. 세종대왕의 우수한 업적 '한글'의 창제정신과 언어로서의 우수성을 소개하는 다양한 공연, 전시, 체험 프로그램으로 다양한 즐길거리와 볼거리를 선사하는 축제이다.
 1. 메인프로그램<br>- (한글) 세종한글놀이터/한글노래 경연대회/한글몸짓 플래시몹/한글 골든벨/충녕 마리오네트<br>- (주제공연) 한글 창제 서사를 유명 뮤지컬 넘버로 풀어낸 뮤지컬 갈라쇼 <한글이 꿈꾼 세상>, 한글 드론 공연<br>- (폐막공연) 용비어천가, 우리의한글, 아름다운 세상 등 한글 동요 어린이합창단 + LED 퍼포먼스 공연<br>2. 부대프로그램 : (상설) 시민기획 한글 체험 프로그램, 도심 속 정원공간에서 즐기는 독서존, 친환경 팝업 놀이터 등<br>3. 소비자 참여 프로그램 : 네바퀴식당(푸드트럭), 마켓",1.0,0.0,1.0,0.0,0.0,0.0,0.0
"2025년 을사년 정월대보름을 맞이하여 우리 고장 대표세시풍속인 달집놀이를 통한 송액영복 축원 및 구민화합의 장 마련하고자 한다. 각종 시민참여행사 및 줄타기등 다양한 무형유산 공연을 통한 전통문화 전파 및 전승의 장을 마련하였다.  1. 메인프로그램 : 달집태우기, 줄타기공연 등 무형유산<br>
2. 부대프로그램 : 차봉사 및 귀밝이술 제공 등<br>
3. 소비자 참여 프로그램 : 소망포쓰기,소망연 등 판매 등",0.0,0.0,1.0,0.0,0.0,1.0,0.0
"2025 부산수제맥주마스터스챌린지는 부산지역 수제맥주 브랜드의 경쟁력 강화를 위해 전문가와 일반 시민들이 평가를 진행하여 올해 부산지역 최고의 수제맥주를 뽑아보는 시민 참여형 축제이다. 시민들이 직접 참여하는 수제맥주 심사부터 5일간 짜릿한 즐거움을 끊임없이 선물할 비어콘서트와 부산 지역 수제맥주를 맛볼 수 있는 크래프트 비어 마켓 등 남녀노소 모두가 즐길 수 있는 다양한 부대행사와 이벤트가 준비되어 있으니 9월 20일 ~ 9월 24일 5일간 벡스코로 와서 부산수제맥주의 맛을 느껴보길 바란다. 1. 메인프로그램<br>-개/ 폐막식 : 5일간의 짜릿한 즐거움의 시작과 끝을 장식할 퍼포먼스와 축하공연을 만나볼 수 있는 프로그램<br>-크래프트 비어 마켓 : 부산 대표 수제맥주 9개 업체를 모두 만나볼 수 있는 도심 속 오아시스 같은 공간<br>- 수제맥주 품평회 : 수제맥주의 다양한 맛과 향에 대해 전문성과 대중성을 평가하는 심사 프로그램<br>-비어 콘서트 : 축제를 더욱 즐겁게 즐길 수 있도록 준비된 다양한 장르의 공연 프로그램<br><br>2. 부대프로그램<br>-딜리셔스 마켓 : 수제맥주와 어울리는 다양한 먹거리들이 가득한 푸드 팝업스토어<br>-홍보 팝업스토어 : 부산시 소상공인 지원사업 및 유관기관 정책 정보를 알아볼 수 있는 공간<br>-크래프트 비어랜드 : 생활운동 콘텐츠 워밍업 챌린지부터 나만의 맥주 라벨을 만들어 볼 수 있는 드로잉 체험 등 다양한 체험 및 이벤트 프로그램이 준비되어 있는 공간<br>-브루어스 라운지 with FSW :  페스티벌 시월을 찾은 다양한 분야의 전문가와 일반 관람객들이 특별하게 네트워킹하고 즐길 수 있는 라운지 공간
",1.0,0.0,0.0,1.0,0.0,0.0,0.0
"동서양의 아름다운 정원을 모두 품은 벽초지수목원에서, 아래와 같이 2025년 벽초지수목원 튤립 봄꽃축제를 진행한다.
4월 12일 ~ 5월 6일동안 튤립 봄꽃 축제가 진행된다.  - '벽초지 사진전'을 테마로 사계의 벽초지수목원 사진 전시<br>
- 보타니 브런치카페에서  피자, 파스타 등 쉐프의 메뉴 소개<br>
- 먼치먼치 푸드코트에서는 커피류,스낵류 이용  ",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"로봇, 우주공학과 같은 미래 과학 기술을 엿볼 수 있는 과학 축제의 장이다. 안산시가 ASV유관기관 및 기업, 재단, 단체 등과 협력하여 로봇, 우주공학과 같은 미래과학 기술을 한자리에서 조망할 수 있는 기회를 제공하는 안산시의 브랜드 축제이다.
과학과 인문, 문화, 예술 등 여러 분야를 융합시킨 문화공연, 체험 부스 프로그램, 이벤트 프로그램 등 다양한 콘텐츠들이 있어 시민들이 과학을 쉽고 재미있게 즐길 수 있다.  1. 메인프로그램 : 미래과학기술 체험 및 전시 부스 90여종<br>
2. 부대프로그램 : 과학토크콘서트, 과학문화공연, 로봇공연, 페이스페인팅, 삐에로 풍선아트<br>
3. 소비자 참여 프로그램 : 스탬프 투어 이벤트<br>
4. 기타 내용 : AI바둑로봇 체험, 케이팝 로봇 헌터스, 휴머노이드 조종 미션, 랜덤스틱잡기로봇 체험, 즐거운 AI로봇 조종 체험, 증강현실 스마트놀이터, 드론 시뮬레이터 체험, 태양열 자동차, GOGO씽! 고카트, 섬유 속 숨은 과학찾기, 기상기후 놀이터, AR 피구, 탑승형 로봇, AI포토존, 과학방탈출 버스, XR버스 등",1.0,0.0,1.0,0.0,0.0,0.0,0.0
